Id,Start,End,Title,Link,kicker,Category,Type,Authors,PubType
100000004718174,Sun-9-17-2017-6PM,Mon-9-18-2017-6PM,Where can you escape the harshest effects of climate change?,https://www.nytimes.com/2016/10/20/science/9-cities-to-live-in-if-youre-worried-about-climate-change.html,None,Science,article,[ Jonah Engel Bromwich -],Remain
100000005429659,Sun-9-17-2017-6PM,Mon-9-18-2017-6PM,"Opinion: Is Nothing Funny, Mr. President?",https://www.nytimes.com/2017/09/16/opinion/sunday/trump-does-not-laugh.html,Opinion,Opinion,article,[ David Litt -],Remain
100000005430062,Sun-9-17-2017-6PM,Mon-9-18-2017-6PM,Letter 25: It�۪s Not About Marriage. It�۪s About Gender.,https://www.nytimes.com/2017/09/14/world/australia/its-not-about-same-sex-marriage-its-about-gender.html,Letter 25,World,article,[ Damien Cave -],Remain
100000005430297,Sun-9-17-2017-6PM,Mon-9-18-2017-6PM,The Breakdown: Clown Hysteria Grips Australian Media After Group Vows to Descend on Suburbs,https://www.nytimes.com/2017/09/14/world/australia/clown-craze-australia.html,The Breakdown,World,article,[ Isabella Kwai -],Remain
100000005433984,Sun-9-17-2017-6PM,Mon-9-18-2017-6PM,Loose Ends: More Jokes From Martin Shkreli,https://www.nytimes.com/2017/09/15/opinion/sunday/martin-shkreli-jokes.html,Loose Ends,Opinion,article,[ Alison Leiby -],Remain
100000005436167,Sun-9-17-2017-6PM,Mon-9-18-2017-6PM,Britain Lowers Threat Level After Arrest of 2nd Man in London Subway Bombing,https://www.nytimes.com/2017/09/17/world/europe/uk-london-subway-bombing.html,None,World,article,[ Ceylan Yeginsu -],Remain
100000005436765,Sun-9-17-2017-6PM,Mon-9-18-2017-6PM,Acid Attack in France Injures at Least 2 American Students,https://www.nytimes.com/2017/09/17/world/europe/marseille-france-acid-attack.html,None,World,article,[ Aurelien Breeden -],Remain
