Id,Start,End,Title,Link,kicker,Category,Type,Authors,PubType
100000005436119,Sun-9-17-2017-10PM,Mon-9-18-2017-6PM,Trump Lawyers Clash Over How Much to Cooperate With Russia Inquiry,https://www.nytimes.com/2017/09/17/us/politics/trump-lawyers-white-house-russia-mcgahn-ty-cobb.html,None,U.S.,article,[ Peter Baker - Kenneth P. Vogel -],Added
100000005436494,Mon-9-18-2017-6AM,Mon-9-18-2017-6PM,Mediator: Facebook Knows More About Russia�۪s Election Meddling. Shouldn�۪t We?,https://www.nytimes.com/2017/09/17/business/facebook-russia.html,Mediator,U.S.,article,[ Jim Rutenberg -],Added
100000005436579,Mon-9-18-2017-6PM,Mon-9-18-2017-6PM,"Asia and Australia Edition: North Korea, Rohingya, Hurricane Maria: Your Tuesday Briefing",https://www.nytimes.com/2017/09/18/briefing/north-korea-rohingya-hurricane-maria.html,Asia and Australia Edition,Briefing,article,[ Charles McDermid -],Added
100000005436888,Sun-9-17-2017-10PM,Mon-9-18-2017-6PM,St. Louis Protests: Police Say They ���Owned�۪ the Night After 80 Arrests,https://www.nytimes.com/2017/09/17/us/jason-stockley-protests-st-louis.html,None,U.S.,article,[ Tim O'neil - Monica Davey -],Added
100000005437551,Mon-9-18-2017-12PM,Mon-9-18-2017-6PM,Fashion Review: Old Hollywood Vavoom Dominated on the Emmys Red Carpet,https://www.nytimes.com/2017/09/18/fashion/emmys-red-carpet-dresses.html,Fashion Review,Fashion,article,[ Ruth La Ferla -],Added
100000005437725,Mon-9-18-2017-3PM,Mon-9-18-2017-6PM,The Best and Worst Moments of the 2017 Emmys,https://www.nytimes.com/2017/09/18/arts/television/emmys-best-worst-highlights.html,None,Arts,article,[ The New York Times -],Added
100000005438018,Mon-9-18-2017-12PM,Mon-9-18-2017-6PM,Iceland�۪s Government Falls After Letter Asking to Pardon Pedophile,https://www.nytimes.com/2017/09/18/world/europe/iceland-government-collapse.html,None,World,article,[ Dan Bilefsky -],Added
100000005438270,Mon-9-18-2017-4PM,Mon-9-18-2017-6PM,Sean Spicer Says He Regrets Berating Reporters Over Inauguration Crowds,https://www.nytimes.com/2017/09/18/arts/television/sean-spicer-emmys.html,None,Arts,article,[ Glenn Thrush - Dave Itzkoff -],Added
100000005438329,Mon-9-18-2017-12PM,Mon-9-18-2017-6PM,Republicans Demand Another Vote to Repeal the Affordable Care Act,https://www.nytimes.com/2017/09/18/us/politics/obamacare-repeal-vote.html,None,U.S.,article,[ Robert Pear -],Added
100000005438425,Mon-9-18-2017-2PM,Mon-9-18-2017-6PM,Trump Pushes U.N. on Reform and Hints He May Quit Iran Nuclear Deal,https://www.nytimes.com/2017/09/18/world/americas/trump-united-nations.html,None,World,article,[ Peter Baker - Somini Sengupta -],Added
100000005438519,Mon-9-18-2017-4PM,Mon-9-18-2017-6PM,Arrests in London Tube Bombing Stun a Suburban Town,https://www.nytimes.com/2017/09/18/world/europe/london-tube-bombing-suspects.html,None,World,article,[ Ceylan Yeginsu - Karam Shoumali -],Added
100000005438838,Mon-9-18-2017-5PM,Mon-9-18-2017-6PM,G.M. Workers Strike in Canada as Mexico Jobs Raise Tension,https://www.nytimes.com/2017/09/18/business/general-motors-strike-canada.html,None,Business,article,[ Ian Austen -],Added
